ds,yhat,yhat_lower,yhat_upper
2023-03-06,24952.178117599895,16567.632387262514,33319.42678116277
2023-03-07,24918.230746174475,16474.899038054955,33617.98326298683
2023-03-08,25128.055625785895,16622.981521448477,33241.03353006966
2023-03-09,25069.918659081348,17482.975751695343,33247.822906098096
2023-03-10,25170.526963411092,17210.61834971323,33401.46695710473
2023-03-11,25285.064259487568,17287.864525176992,33244.66493168677
2023-03-12,25366.483149974963,17694.533512577684,33960.418204000016
2023-03-13,25600.076542084753,17751.130031151955,34026.272061879434
2023-03-14,25681.75943359447,17254.783795069852,33349.641582042146
2023-03-15,26001.085678871426,18256.86165742326,34251.36335570413
2023-03-16,26043.222893402028,18039.517830688153,33901.806337594884
2023-03-17,26232.025887565356,18412.277764132024,34308.23368328751
2023-03-18,26420.146733667003,18169.500563842885,34844.08210080641
2023-03-19,26558.392985290368,18122.530136462094,34626.46873102993
2023-03-20,26830.354552592657,18777.12566118327,35670.037858129464
2023-03-21,26930.72898900218,18623.969362213276,34648.48974042266
2023-03-22,27248.368667975727,18829.849390317973,34500.146617899576
2023-03-23,27268.272226989055,19253.088573673413,35142.62995357621
2023-03-24,27420.14475364732,19701.14340875715,35158.22649928427
2023-03-25,27552.04236186534,19301.205078069248,35497.409610045775
2023-03-26,27616.157928824312,19408.816365347262,35212.85526476951
2023-03-27,27797.924364647068,19485.20145237553,36236.876229926085
2023-03-28,27794.288714198115,19658.68431712578,36097.49445857572
2023-03-29,27996.69751020192,19814.64753246508,36307.35104554552
2023-03-30,27893.017468224116,20219.17294555203,35760.82456099555
2023-03-31,27910.533460972063,19578.396201073236,36167.30012353182
2023-04-01,27905.96399370561,19853.268295762457,35949.75799544168
2023-04-02,27834.70832946892,19584.487173057616,35999.09466223729
2023-04-03,27885.348836202564,19796.42622929962,35317.41828731504
2023-04-04,27757.841733316163,19662.428403510927,35640.919160996986
2023-04-05,27846.42339770727,20334.833851492982,35549.76467868971
2023-04-06,27641.458445356187,19042.653480693196,35237.39936249105
2023-04-07,27572.37346644607,20227.449973121948,35295.88966563868
2023-04-08,27497.618338350818,19508.84507054987,35566.233496648754
2023-04-09,27373.87068388486,19933.934568750523,35032.11087409903
2023-04-10,27390.508143541017,19638.562601922018,35549.55064070941
2023-04-11,27247.782385030834,19671.001113028815,35292.21608426937
2023-04-12,27339.722385585155,19769.480912328396,35427.64433548927
2023-04-13,27155.99319953049,18859.109601837696,35050.25133300077
2023-04-14,27124.85370794496,19213.789706823765,34741.098318086646
2023-04-15,27103.154528210787,19380.61587240356,34988.863507352384
2023-04-16,27045.590561061577,19198.36922244073,35276.819494006755
2023-04-17,27139.231442506578,19220.740810480205,35097.50104009317
2023-04-18,27081.762151167513,19306.098879107783,35025.26340139215
2023-04-19,27264.459409883308,19817.85157303108,34980.23815651505
2023-04-20,27174.128027332095,18482.48312399365,35488.280721683775
2023-04-21,27236.138497674332,19265.722932755558,35438.09066521215
2023-04-22,27304.504806320456,19067.864037234263,35466.72395195968
2023-04-23,27331.21470106552,19536.131794930734,35890.48034111698
2023-04-24,27500.83355065634,19691.166063738416,35451.82034931081
2023-04-25,27508.812028526314,19663.904744561085,35718.51320074485
2023-04-26,27744.521435800532,19042.735227869776,34885.83644026953
2023-04-27,27693.23922261777,19537.251522322877,35340.157465143166
2023-04-28,27779.224720368868,19724.22177309113,35500.122107560645
2023-04-29,27855.823044018918,19830.15128586781,36470.62423904049
2023-04-30,27874.808777448914,20038.0305165281,35521.34789861777
2023-05-01,28020.990276729015,20128.949644454642,35417.139120708525
2023-05-02,27990.504907439896,20156.372041061222,35883.27250518059
2023-05-03,28173.82947016706,20429.367701684558,36859.123656062075
2023-05-04,28057.729160877458,20321.809619961958,36105.044107088055
2023-05-05,28068.28619046073,19724.182293275142,36252.88817499877
2023-05-06,28060.947425560447,20729.238613626763,36722.303508809986
2023-05-07,27989.804317216527,19933.444783323364,35487.63267644138
2023-05-08,28042.127808882997,19575.892210657126,36192.00109936131
2023-05-09,27916.590546532832,20233.64764262732,35807.82024858457
2023-05-10,28006.202744470345,20462.701169494507,36175.69811794574
2023-05-11,27800.18718652703,19486.32600490959,36072.14649358558
2023-05-12,27726.936593137765,19290.10277964967,36069.015106098734
2023-05-13,27643.99473675986,19440.838787362383,35216.89155021182
2023-05-14,27507.27645008056,19235.843137539006,35678.479534293925
2023-05-15,27505.5509017546,20000.11260255984,35182.33621655853
2023-05-16,27338.6219041796,18579.100486229683,34659.8940347749
2023-05-17,27400.232767699166,19241.74909671958,35326.72261427129
2023-05-18,27179.92202894449,19039.67742787735,34766.74173639872
2023-05-19,27105.973796440358,19010.344885825012,34934.748554562124
2023-05-20,27035.40425989216,18961.94839660834,35169.36713733087
2023-05-21,26923.199319490985,18564.711461281055,35648.01437458917
2023-05-22,26956.827176308096,19486.46772447141,35172.22832185974
2023-05-23,26834.458785221243,19531.681514701264,35038.500786319426
2023-05-24,26947.92251764803,19166.410539852655,34926.00790639744
2023-05-25,26784.617924417063,19139.00506165587,35004.89184775049
2023-05-26,26770.530675484326,18410.093092100593,34467.32516125105
2023-05-27,26760.288374920805,19160.416684160824,34725.04683473068
2023-05-28,26706.470230393563,18522.917520591014,34916.73173628595
2023-05-29,26794.1923733911,18546.761720649865,34753.542522880016
